course_code,course_name,course_desc
ADMN-0001,Summer Disbursement,
ADMN-1000,Arch Exploration & Planning I,
ADMN-1001,Arch Exploration & Planning I,"Students are automatically enrolled in this course as part of the Arch program. This is a zero credit, self-paced, online course covering professional development topics to assist students in preparing and developing a semester away plan and search strategy. The components of the course span the academic year in Admin 1001 in the fall and Admin 1002 in the spring to encourage students to be proactive and take steps towards identifying and securing an Arch away experience. Students will receive a “Satisfactory” or “Unsatisfactory” grade for this course on their academic transcript."
ADMN-1002,Arch Away Exploration And Planning,"Students are automatically enrolled in this course as part of the Arch program. This is a no credit, self-paced, online course covering professional development topics to assist students in preparing and developing a semester away plan and search strategy. Students will receive a “Satisfactory” or “Unsatisfactory” grade for this course."
ADMN-1010,Esl Courses,
ADMN-1020,Arch Away Courses,
ADMN-1030,Arch Exploration & Planning,"This online course covers personal and professional development topics to assist students as they explore their career development and prepare to be a strong professional in the work force. The components of the course are designed to simulate the experience of a job search, whether it be for full time or an internship, so that students can be prepared for future searches. The resources and assignments provided in this course will leave students feeling prepared and confident in their abilities to have a successful job search."
ADMN-1824,Student Success Labs,
ADMN-1960,Admn Topics Course,
ADMN-1961,Topics Course,
ADMN-1962,Admin Topics Course,
ADMN-4020,Degree Completion,
ADMN-4050,Professional Leadership Prog.,
ADMN-4400,Ug Final Admn. Registration,
ADMN-4941,Urp Research,
ADMN-5020,Degree Completion,
ADMN-5030,Ewp Part-time Degree Clearance,
ADMN-6020,Registration In Absentia,
ADMN-6100,Pre-program Approved Research,
ADMN-6150,External Fellowship Research,
ADMN-6160,Field Work Registration,
ADMN-6200,Graduate Academic Accommodation,
ADMN-6300,Graduate Final Registration,
ADMN-6400,Grad Final Administrative Reg,
ADMN-6401,Grad Final Admin Reg R@w,
ADMN-6600,Summer Administ Registration,
ADMN-6700,Academic Orientation Seminar For Graduate Students,
ADMN-6800,Ta Training Seminar,
ADMN-6960,Topics Course In Admn,
ADMN-7001,Teaching Post-secondary Edu,
ADMN-7002,Research Skills,
USAF-0010,Leadership Lab,"The leadership laboratory courses (LLABs) include a study of Air Force customs and courtesies, drill and ceremonies, and military commands. LLAB also includes studying the environment of an Air Force officer and learning about opportunities available to commissioned officers. The AS 300 and AS 400 LLABs consist of activities classified as leadership and management experiences. They involve the planning and controlling of military activities of the cadet wing, and the preparation and presentation of briefings and other oral and written communications. LLABs also include interviews, guidance, and information which will increase the understanding, motivation, and performance of other cadets."
USAF-0020,Leadership Lab,
USAF-0030,Leadership Lab,
USAF-0040,Leadership Lab,
USAF-0050,Leadership Lab,
USAF-0060,Leadership Lab,
USAF-0070,Leadership Lab,
USAF-0080,Leadership Lab,"The leadership laboratory courses (LLABs) include a study of Air Force customs and courtesies, drill and ceremonies, and military commands. LLAB also includes studying the environment of an Air Force officer and learning about opportunities available to commissioned officers. The AS 300 and AS 400 LLABs consist of activities classified as leadership and management experiences. They involve the planning and controlling of military activities of the cadet wing, and the preparation and presentation of briefings and other oral and written communications. LLABs also include interviews, guidance, and information which will increase the understanding, motivation, and performance of other cadets."
USAF-1000,Consortia Course At Sage,
USAF-1001,Consortia Course At Hvcc,
USAF-1002,Consortia Course At Suny Alb.,
USAF-1003,Consortia Course At Siena,
USAF-1004,Consortia Course At Skidmore,
USAF-1005,Consortia Course At Union,
USAF-1006,Consortia Course At St. Rose,
USAF-1007,Consortia Course At Jca,
USAF-1008,Consortia Course At Sch Cit Cc,
USAF-1009,Consortia Course At Alb. Pharm,
USAF-1010,Aerospace Studies 100a,"AS 100, Heritage and Values of the U.S. Air Force, is a survey course designed to introduce students to the United States Air Force and provides an overview of the basic characteristics, missions, and organization of the Air Force. Leadership Laboratory (USAF 0010) is mandatory for AFROTC cadets and complements this course by providing cadets with leadership/followership experiences."
USAF-1020,Aerospace Studies 100b,"AS 100, Leadership Laboratory (USAF 0010), is mandatory for AFROTC cadets and complements this course by providing cadets with leadership/followership experiences."
USAF-2000,Consortia Course At Sage,
USAF-2001,Consortia Course At Hvcc,
USAF-2002,Consortia Course At Suny Alb.,
USAF-2003,Consortia Course At Siena,
USAF-2004,Consortia Course At Skidmore,
USAF-2005,Consortia Course At Union,
USAF-2006,Consortia Course At St. Rose,
USAF-2007,Consortia Course At Jca,
USAF-2008,Consortia Course At Sch Cit Cc,
USAF-2009,Consortia Course At Alb. Pharm,
USAF-2030,Aerospace Studies 200a,"The AS 200, Team and Leadership Fundamentals, focuses on laying the foundation for teams and leadership. The topics include skills that will allow cadets to improve their leadership on a personal level and within a team. The courses will prepare cadets for their field training experience where they will be able to put the concepts learned into practice. The purpose is to instill a leadership mindset and to motivate sophomore students to transition from AFROTC cadet to AFROTC officer candidate. Leadership Laboratory (USAF 0010) is mandatory for AFROTC cadets and complements this course by providing cadets with leadership/followership experiences."
USAF-2040,Aerospace Studies 200b,"The AS 200, Team and Leadership Fundamentals,” focuses on laying the foundation for teams and leadership. The topics include skills that will allow cadets to improve their leadership on a personal level and within a team. The courses will prepare cadets for their field training experience where they will be able to put the concepts learned into practice. The purpose is to instill a leadership mindset and to motivate sophomore students to transition from AFROTC cadet to AFROTC officer candidate. Leadership Laboratory (USAF 0010) is mandatory for AFROTC cadets and complements this course by providing cadets with leadership/followership experiences."
USAF-2050,Aerospace Studies 300a,"AS 300, Leading People and Effective Communication, teaches cadets advanced skills and knowledge in management and leadership. Special emphasis is placed on enhancing leadership skills and communication. Cadets have an opportunity to try out these leadership and management techniques in a supervised environment as juniors and seniors. Laboratory (USAF 0080) is mandatory for AFROTC cadets and complements this course by providing cadets with leadership/followership experiences."
