Name,Department
"Abouzeid, Alhussein","Electrical, Computer, and Systems Engineering"
"Adali, Sibel",Computer Science
"Agrawal, Arpit",Management
"Agarwal, Monica",Biomedical Engineering
"Agca Aktunc, Esra",Industrial and Systems Engineering
"Ahmadi, Nima",Industrial and Systems Engineering
"Akin, Semih",unknown
"Aksoy, Billur",Economics
"Aktunc, Mahir Emrah",Cognitive Science
"Ameres, Eric",Cognitive Science
"Amitay, Michael","Mechanical, Aerospace and Nuclear Engineering"
"Anderson, Kurt","Mechanical, Aerospace and Nuclear Engineering"
"Anicca, Skye",Communication and Media
"Anshelevich, Elliot",Computer Science
"Ashenafi, Eyosias",Civil and Environmental Engineering
"Atuk, Tankut",Science and Technology Studies
"Bae, Chulsung",Chemistry and Chemical Biology
"Bailey, James",Industrial and Systems Engineering
"Baldansuren, Amgalanbaatar",Chemistry and Chemical Biology
"Ballinger, Clinton","Mechanical, Aerospace and Nuclear Engineering"
"Banks, Jeffrey",Mathematics
"Bao, Wei",Materials Science and Engineering
"Barquera, Blanca",Biological Sciences
"Basu, Kanad","Electrical, Computer, and Systems Engineering"
"Baysal, Nihat",Chemical and Biological Engineering
"Belfort, Georges",Chemical and Biological Engineering
"Bell, David",Architecture
"Bennett, Christianna",Architecture
"Bennett, Victoria",Civil and Environmental Engineering
"Bennett, Kristin",Mathematical Sciences
"Bentley, Marvin",Biological Sciences
"Bequette, B. Wayne",Chemical and Biological Engineering
"Berry, Jacqueline",Cognitive Science
"Besenecker, Ute",Architecture
"Bhaduri, Tathagata",Civil and Environmental Engineering
"Biggs, Adam",Science and Technology Studies
"Blaber, Elizabeth",Biomedical Engineering
"Black, Sara",Science and Technology Studies
"Blanchet, Thierry","Mechanical, Aerospace and Nuclear Engineering"
"Bonitatibus, Peter",Chemistry and Chemical Biology
"Bonocora, Richard",Biological Sciences
"Borca-Tasciuc, Diana","Mechanical, Aerospace and Nuclear Engineering"
"Borca-Tasciuc, Theodorian","Mechanical, Aerospace and Nuclear Engineering"
"Braasch, Jonas",Architecture
"Brace, Brandi",Arts
"Bringsjord, Selmer",Cognitive Science
"Brown, Elisabeth",Mathematical Sciences
"Brown, Ethan","Physics, Applied Physics, and Astronomy"
"Burgermaster, Matt",Architecture
"Bystroff, Christopher",Biological Sciences
"Cadieux, Sarah",Earth and Environmental Sciences
"Campbell, Nancy",Science and Technology Studies
"Cardinal, Jennifer",Science and Technology Studies
"Carothers, Christopher",Computer Science
"Carter, Marcus",Architecture
"Cavdar, Bahar",Industrial and Systems Engineering
"Celik, Salih Muhsin","Electrical, Computer, and Systems Engineering"
"Century, Michael",Arts
"Chadd, Ian",Economics
"Chakrapani, Vidhya",Chemical and Biological Engineering
"Chang, Benjamin",Arts
"Chari, Murali",Management
"Chen, Kedong",Management
"Chen, Tianyi","Electrical, Computer, and Systems Engineering"
"Chow, T. Paul","Electrical, Computer, and Systems Engineering"
"Chowdhury, Arshad Zahangir","Mechanical, Aerospace and Nuclear Engineering"
"Cioffi, Christopher",Chemistry and Chemical Biology
"Ciolek, Glenn","Physics, Applied Physics, and Astronomy"
"Clark, Brian",Management
"Cohen, Tara Gallaway","Mechanical, Aerospace and Nuclear Engineering"
"Colon, Wilfredo",Chemistry and Chemical Biology
"Combs, Lonn",Architecture
"Corr, David",Biomedical Engineering
"Costelloe-Kuehn, Brandon",Science and Technology Studies
"Cramer, Steven",Chemical and Biological Engineering
"Crembil, Gustavo",Architecture
"Cutler, Barbara",Computer Science
"Danon, Yaron","Mechanical, Aerospace and Nuclear Engineering"
"Dayem, Adam",Architecture
"Deery, June",Communication and Media
"Dinolfo, Peter",Chemistry and Chemical Biology
"DiTursi, Daniel",Computer Science
"Djeumou, Franck","Mechanical, Aerospace and Nuclear Engineering"
"Doerge, Rebecca",Biological Sciences
"Dordick, Jonathan",Chemical and Biological Engineering
